"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003
"34001000100","Census Tract 1","Census Tract 1, Atlantic County, New Jersey","nj","140","00","ACSSF","0001398",,,,,"34","001",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001000100",,,"1704430","466885",651,364,287,55.91,44.09
"34001000200","Census Tract 2","Census Tract 2, Atlantic County, New Jersey","nj","140","00","ACSSF","0001399",,,,,"34","001",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001000200",,,"523378","670249",449,173,276,38.53,61.47
"34001000300","Census Tract 3","Census Tract 3, Atlantic County, New Jersey","nj","140","00","ACSSF","0001400",,,,,"34","001",,,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001000300",,,"365553","45436",1076,594,482,55.2,44.8
"34001000400","Census Tract 4","Census Tract 4, Atlantic County, New Jersey","nj","140","00","ACSSF","0001401",,,,,"34","001",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001000400",,,"676905","1019528",513,227,286,44.25,55.75
"34001000500","Census Tract 5","Census Tract 5, Atlantic County, New Jersey","nj","140","00","ACSSF","0001402",,,,,"34","001",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001000500",,,"273704","79771",1063,496,567,46.66,53.34
"34001001100","Census Tract 11","Census Tract 11, Atlantic County, New Jersey","nj","140","00","ACSSF","0001403",,,,,"34","001",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001100",,,"289400","0",552,341,211,61.78,38.22
"34001001200","Census Tract 12","Census Tract 12, Atlantic County, New Jersey","nj","140","00","ACSSF","0001404",,,,,"34","001",,,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001200",,,"1202454","89040",818,435,383,53.18,46.82
"34001001300","Census Tract 13","Census Tract 13, Atlantic County, New Jersey","nj","140","00","ACSSF","0001405",,,,,"34","001",,,,"001300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001300",,,"16929572","11257745",330,146,184,44.24,55.76
"34001001400","Census Tract 14","Census Tract 14, Atlantic County, New Jersey","nj","140","00","ACSSF","0001406",,,,,"34","001",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001400",,,"1962732","754590",1514,1223,291,80.78,19.22
"34001001500","Census Tract 15","Census Tract 15, Atlantic County, New Jersey","nj","140","00","ACSSF","0001407",,,,,"34","001",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001500",,,"300088","0",317,120,197,37.85,62.15
"34001001900","Census Tract 19","Census Tract 19, Atlantic County, New Jersey","nj","140","00","ACSSF","0001408",,,,,"34","001",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001001900",,,"279486","499303",247,139,108,56.28,43.72
"34001002300","Census Tract 23","Census Tract 23, Atlantic County, New Jersey","nj","140","00","ACSSF","0001409",,,,,"34","001",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001002300",,,"698090","434624",759,528,231,69.57,30.43
"34001002400","Census Tract 24","Census Tract 24, Atlantic County, New Jersey","nj","140","00","ACSSF","0001410",,,,,"34","001",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001002400",,,"1577097","902404",416,197,219,47.36,52.64
"34001002500","Census Tract 25","Census Tract 25, Atlantic County, New Jersey","nj","140","00","ACSSF","0001411",,,,,"34","001",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001002500",,,"1086146","496767",647,274,373,42.35,57.65
"34001010101","Census Tract 101.01","Census Tract 101.01, Atlantic County, New Jersey","nj","140","00","ACSSF","0001412",,,,,"34","001",,,,"010101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010101",,,"10850936","12435412",453,20,433,4.42,95.58
"34001010102","Census Tract 101.02","Census Tract 101.02, Atlantic County, New Jersey","nj","140","00","ACSSF","0001413",,,,,"34","001",,,,"010102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010102",,,"2000187","1808973",192,61,131,31.77,68.23
"34001010104","Census Tract 101.04","Census Tract 101.04, Atlantic County, New Jersey","nj","140","00","ACSSF","0001414",,,,,"34","001",,,,"010104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010104",,,"1451784","1104417",96,6,90,6.25,93.75
"34001010105","Census Tract 101.05","Census Tract 101.05, Atlantic County, New Jersey","nj","140","00","ACSSF","0001415",,,,,"34","001",,,,"010105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010105",,,"2586555","2809690",329,173,156,52.58,47.42
"34001010200","Census Tract 102","Census Tract 102, Atlantic County, New Jersey","nj","140","00","ACSSF","0001416",,,,,"34","001",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010200",,,"8771592","4028342",1177,0,1177,0,100
"34001010300","Census Tract 103","Census Tract 103, Atlantic County, New Jersey","nj","140","00","ACSSF","0001417",,,,,"34","001",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010300",,,"5391060","500392",469,153,316,32.62,67.38
"34001010401","Census Tract 104.01","Census Tract 104.01, Atlantic County, New Jersey","nj","140","00","ACSSF","0001418",,,,,"34","001",,,,"010401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010401",,,"90576794","1287653",1070,18,1052,1.68,98.32
"34001010403","Census Tract 104.03","Census Tract 104.03, Atlantic County, New Jersey","nj","140","00","ACSSF","0001419",,,,,"34","001",,,,"010403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010403",,,"9275168","0",1394,117,1277,8.39,91.61
"34001010501","Census Tract 105.01","Census Tract 105.01, Atlantic County, New Jersey","nj","140","00","ACSSF","0001420",,,,,"34","001",,,,"010501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010501",,,"99726845","47436715",1029,9,1020,0.87,99.13
"34001010503","Census Tract 105.03","Census Tract 105.03, Atlantic County, New Jersey","nj","140","00","ACSSF","0001421",,,,,"34","001",,,,"010503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010503",,,"9471089","45313",1559,295,1264,18.92,81.08
"34001010505","Census Tract 105.05","Census Tract 105.05, Atlantic County, New Jersey","nj","140","00","ACSSF","0001422",,,,,"34","001",,,,"010505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010505",,,"22057202","17511534",423,48,375,11.35,88.65
"34001010506","Census Tract 105.06","Census Tract 105.06, Atlantic County, New Jersey","nj","140","00","ACSSF","0001423",,,,,"34","001",,,,"010506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010506",,,"11021861","218684",1052,212,840,20.15,79.85
"34001010600","Census Tract 106","Census Tract 106, Atlantic County, New Jersey","nj","140","00","ACSSF","0001424",,,,,"34","001",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010600",,,"28099709","1481345",963,242,721,25.13,74.87
"34001010700","Census Tract 107","Census Tract 107, Atlantic County, New Jersey","nj","140","00","ACSSF","0001425",,,,,"34","001",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010700",,,"146011640","1212813",1196,85,1111,7.11,92.89
"34001010800","Census Tract 108","Census Tract 108, Atlantic County, New Jersey","nj","140","00","ACSSF","0001426",,,,,"34","001",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010800",,,"19032969","283233",615,172,443,27.97,72.03
"34001010900","Census Tract 109","Census Tract 109, Atlantic County, New Jersey","nj","140","00","ACSSF","0001427",,,,,"34","001",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001010900",,,"57609078","985851",1349,176,1173,13.05,86.95
"34001011000","Census Tract 110","Census Tract 110, Atlantic County, New Jersey","nj","140","00","ACSSF","0001428",,,,,"34","001",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011000",,,"17112186","122700",618,44,574,7.12,92.88
"34001011100","Census Tract 111","Census Tract 111, Atlantic County, New Jersey","nj","140","00","ACSSF","0001429",,,,,"34","001",,,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011100",,,"11786268","72953",731,222,509,30.37,69.63
"34001011201","Census Tract 112.01","Census Tract 112.01, Atlantic County, New Jersey","nj","140","00","ACSSF","0001430",,,,,"34","001",,,,"011201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011201",,,"21404102","634664",346,51,295,14.74,85.26
"34001011202","Census Tract 112.02","Census Tract 112.02, Atlantic County, New Jersey","nj","140","00","ACSSF","0001431",,,,,"34","001",,,,"011202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011202",,,"106395939","1297594",1561,378,1183,24.22,75.78
"34001011300","Census Tract 113","Census Tract 113, Atlantic County, New Jersey","nj","140","00","ACSSF","0001432",,,,,"34","001",,,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011300",,,"19613393","3293",1072,121,951,11.29,88.71
"34001011401","Census Tract 114.01","Census Tract 114.01, Atlantic County, New Jersey","nj","140","00","ACSSF","0001433",,,,,"34","001",,,,"011401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011401",,,"116351768","3094560",833,75,758,9,91
"34001011403","Census Tract 114.03","Census Tract 114.03, Atlantic County, New Jersey","nj","140","00","ACSSF","0001434",,,,,"34","001",,,,"011403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011403",,,"28312464","194760",1191,12,1179,1.01,98.99
"34001011404","Census Tract 114.04","Census Tract 114.04, Atlantic County, New Jersey","nj","140","00","ACSSF","0001435",,,,,"34","001",,,,"011404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011404",,,"35975472","967711",1856,303,1553,16.33,83.67
"34001011500","Census Tract 115","Census Tract 115, Atlantic County, New Jersey","nj","140","00","ACSSF","0001436",,,,,"34","001",,,,"011500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US34001011500",,,"106577176","1049124",1775,279,1496,15.72,84.28
