Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003
36001000100,Census Tract 1,"Census Tract 1, Albany County, New York",ny,140,0,ACSSF,3396,,,,,36,1,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000100,,,2367456,245021,570,259,311,45.44,54.56
36001000200,Census Tract 2,"Census Tract 2, Albany County, New York",ny,140,0,ACSSF,3397,,,,,36,1,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000200,,,2065162,0,991,544,447,54.89,45.11
36001000300,Census Tract 3,"Census Tract 3, Albany County, New York",ny,140,0,ACSSF,3398,,,,,36,1,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000300,,,5769372,55326,1316,467,849,35.49,64.51
36001000401,Census Tract 4.01,"Census Tract 4.01, Albany County, New York",ny,140,0,ACSSF,3399,,,,,36,1,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000401,,,9065815,86327,192,0,192,0,100
36001000403,Census Tract 4.03,"Census Tract 4.03, Albany County, New York",ny,140,0,ACSSF,3400,,,,,36,1,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000403,,,3138700,0,506,91,415,17.98,82.02
36001000404,Census Tract 4.04,"Census Tract 4.04, Albany County, New York",ny,140,0,ACSSF,3401,,,,,36,1,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000404,,,1840728,84514,0,0,0,,
36001000501,Census Tract 5.01,"Census Tract 5.01, Albany County, New York",ny,140,0,ACSSF,3402,,,,,36,1,,,,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000501,,,547290,0,657,199,458,30.29,69.71
36001000502,Census Tract 5.02,"Census Tract 5.02, Albany County, New York",ny,140,0,ACSSF,3403,,,,,36,1,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000502,,,777447,0,200,24,176,12,88
36001000600,Census Tract 6,"Census Tract 6, Albany County, New York",ny,140,0,ACSSF,3404,,,,,36,1,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000600,,,506881,0,913,390,523,42.72,57.28
36001000700,Census Tract 7,"Census Tract 7, Albany County, New York",ny,140,0,ACSSF,3405,,,,,36,1,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000700,,,1583409,14749,1105,590,515,53.39,46.61
36001000800,Census Tract 8,"Census Tract 8, Albany County, New York",ny,140,0,ACSSF,3406,,,,,36,1,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001000800,,,344413,0,808,394,414,48.76,51.24
36001001100,Census Tract 11,"Census Tract 11, Albany County, New York",ny,140,0,ACSSF,3407,,,,,36,1,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001100,,,1734134,264496,107,0,107,0,100
36001001400,Census Tract 14,"Census Tract 14, Albany County, New York",ny,140,0,ACSSF,3408,,,,,36,1,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001400,,,751968,25632,234,120,114,51.28,48.72
36001001500,Census Tract 15,"Census Tract 15, Albany County, New York",ny,140,0,ACSSF,3409,,,,,36,1,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001500,,,582401,0,531,34,497,6.4,93.6
36001001600,Census Tract 16,"Census Tract 16, Albany County, New York",ny,140,0,ACSSF,3410,,,,,36,1,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001600,,,915231,0,528,31,497,5.87,94.13
36001001700,Census Tract 17,"Census Tract 17, Albany County, New York",ny,140,0,ACSSF,3411,,,,,36,1,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001700,,,1367250,0,604,9,595,1.49,98.51
36001001801,Census Tract 18.01,"Census Tract 18.01, Albany County, New York",ny,140,0,ACSSF,3412,,,,,36,1,,,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001801,,,8049526,20810,993,0,993,0,100
36001001802,Census Tract 18.02,"Census Tract 18.02, Albany County, New York",ny,140,0,ACSSF,3413,,,,,36,1,,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001802,,,1905940,0,630,20,610,3.17,96.83
36001001901,Census Tract 19.01,"Census Tract 19.01, Albany County, New York",ny,140,0,ACSSF,3414,,,,,36,1,,,,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001901,,,870995,0,480,0,480,0,100
36001001902,Census Tract 19.02,"Census Tract 19.02, Albany County, New York",ny,140,0,ACSSF,3415,,,,,36,1,,,,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001001902,,,1172741,0,395,61,334,15.44,84.56
36001002000,Census Tract 20,"Census Tract 20, Albany County, New York",ny,140,0,ACSSF,3416,,,,,36,1,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002000,,,2891046,7882,1500,574,926,38.27,61.73
36001002100,Census Tract 21,"Census Tract 21, Albany County, New York",ny,140,0,ACSSF,3417,,,,,36,1,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002100,,,1460594,0,632,239,393,37.82,62.18
36001002200,Census Tract 22,"Census Tract 22, Albany County, New York",ny,140,0,ACSSF,3418,,,,,36,1,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002200,,,248392,0,325,191,134,58.77,41.23
36001002300,Census Tract 23,"Census Tract 23, Albany County, New York",ny,140,0,ACSSF,3419,,,,,36,1,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002300,,,640377,7375,351,220,131,62.68,37.32
36001002500,Census Tract 25,"Census Tract 25, Albany County, New York",ny,140,0,ACSSF,3420,,,,,36,1,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002500,,,666421,115684,1160,657,503,56.64,43.36
36001002600,Census Tract 26,"Census Tract 26, Albany County, New York",ny,140,0,ACSSF,3421,,,,,36,1,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001002600,,,4169455,452838,995,362,633,36.38,63.62
36001012700,Census Tract 127,"Census Tract 127, Albany County, New York",ny,140,0,ACSSF,3422,,,,,36,1,,,,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001012700,,,1515133,660347,436,100,336,22.94,77.06
36001012800,Census Tract 128,"Census Tract 128, Albany County, New York",ny,140,0,ACSSF,3423,,,,,36,1,,,,12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001012800,,,1627522,154325,798,240,558,30.08,69.92
36001012900,Census Tract 129,"Census Tract 129, Albany County, New York",ny,140,0,ACSSF,3424,,,,,36,1,,,,12900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001012900,,,1499516,338272,629,171,458,27.19,72.81
36001013000,Census Tract 130,"Census Tract 130, Albany County, New York",ny,140,0,ACSSF,3425,,,,,36,1,,,,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001013000,,,5129074,47672,994,72,922,7.24,92.76
36001013100,Census Tract 131,"Census Tract 131, Albany County, New York",ny,140,0,ACSSF,3426,,,,,36,1,,,,13100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001013100,,,1935068,482922,421,43,378,10.21,89.79
36001013200,Census Tract 132,"Census Tract 132, Albany County, New York",ny,140,0,ACSSF,3427,,,,,36,1,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001013200,,,853278,130213,650,342,308,52.62,47.38
36001013300,Census Tract 133,"Census Tract 133, Albany County, New York",ny,140,0,ACSSF,3428,,,,,36,1,,,,13300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001013300,,,1395172,0,791,163,628,20.61,79.39
36001013400,Census Tract 134,"Census Tract 134, Albany County, New York",ny,140,0,ACSSF,3429,,,,,36,1,,,,13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36001013400,,,1236351,205707,456,32,424,7.02,92.98
