FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09110400101,11374703,168925,2833,4.07
09110400102,8210788,229073,4298,6.67
09110400200,32961529,937785,6198,0
09110400300,15600303,409091,6881,3.81
09110415300,541180,0,2399,26.07
09110415400,2686140,0,5536,10.34
09110415500,1136293,0,2878,21.26
09110415600,1270379,0,4220,18.25
09110415700,1273956,35674,3277,8.24
09110415800,1375333,0,2903,28.92
09110415900,651125,0,1475,10
09110416000,812079,0,4679,24.84
09110416100,896459,0,4618,13.18
09110416200,555678,0,2786,24.58
09110416300,1830592,0,4161,18.5
09110416400,4479730,19980,3346,1.1
09110416500,3104118,0,4621,10.76
09110416600,1598492,0,2961,27.6
09110416700,2626365,0,7015,12.37
09110416800,1192733,0,3849,9.73
09110417100,1168124,0,1728,41.74
09110417200,616008,0,1511,4.22
09110417300,576659,0,1642,
09110417400,2735371,46990,3130,2.21
09110417500,3567470,84740,4566,3.94
09110420400,5689449,45167,3111,4.05
09110420500,4778095,0,5207,2.14
09110420601,1548470,4297,2331,21.82
09110420602,3955379,138026,3440,3.15
09110420700,9168405,4369,3379,1.89
09110430100,3408262,0,4148,6.02
09110430201,6378472,0,3366,0
09110430202,16291943,1424290,4582,0
09110430203,5147024,30961,3956,1.43
09110430301,9302188,63467,4018,2.88
09110430302,4552528,19886,2578,0
09110430400,9973390,24419,5148,11.47
09110430501,1447346,0,1554,0
09110430502,11073013,64832,5422,0
09110430602,3422664,0,3567,0
09110430603,3316362,0,1931,5.54
09110430604,18600609,306195,3305,0
09110460100,9879911,629579,3035,1.52
09110460202,20190010,153041,4811,0
09110460203,11951170,1034715,3782,1.31
09110460204,17072928,131112,5883,6.82
09110460301,7501112,167040,5259,4.51
09110460302,5670457,155793,3915,0.72
09110462101,10735588,122210,6278,2.94
09110462102,11381844,307053,4345,0
09110462201,22009143,382431,5534,4.51
09110462202,15856012,307169,2699,3.45
09110464101,52828108,50838,5437,2.19
09110464102,10848403,1086829,4671,0
