FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Total_Pop,Perc_Pov
36001000100,2367456,245021,36,,2156,16.39
36001000201,615867,0,36,,2519,26.13
36001000202,1441490,0,36,,2436,17.77
36001000301,659499,0,36,,2378,27.72
36001000302,5097939,55326,36,,3273,8.56
36001000401,9037500,86162,36,,2321,0
36001000403,3138700,0,36,,4131,6.38
36001000404,1869128,84679,36,,5303,0
36001000501,547290,0,36,,3992,52.19
36001000502,777455,0,36,,3594,5.53
36001000600,506881,0,36,,3153,32.97
36001000700,1593935,14749,36,,3744,18.36
36001000800,344412,0,36,,1362,32.02
36001001100,1740188,264496,36,,2074,0
36001001400,752787,25632,36,,3594,0
36001001500,582402,0,36,,5664,11.3
36001001600,915228,0,36,,4607,13.55
36001001700,1368040,0,36,,4768,9.69
36001001802,1909982,0,36,,4201,3.87
36001001803,1769248,16372,36,,3583,1.98
36001001804,6275446,4438,36,,3692,4.5
36001001901,870995,0,36,,2596,3.61
36001001902,1172741,0,36,,2562,1.97
36001002000,2891046,7882,36,,6769,9.58
36001002100,1460594,0,36,,3574,0
36001002200,248391,0,36,,2466,8.09
36001002300,640377,7375,36,,2015,49.84
36001002500,667349,115684,36,,2653,9.79
36001002600,4172991,449304,36,,4901,17.64
36001012700,1515135,658863,36,,3586,17.75
36001012800,1627523,155808,36,,3892,54.33
36001012900,1499516,338272,36,,3645,22.18
36001013000,5129074,47672,36,,6920,5.64
36001013100,1941182,482922,36,,2966,8.94
36001013200,860044,130213,36,,3231,19.71
36001013300,1386284,0,36,,4043,9.93
36001013400,1235477,205707,36,,3011,18.33
36001013503,11558461,1212130,36,,5306,3.25
36001013505,2970205,12128,36,,3164,2.83
36001013507,5586169,2491,36,,2377,12.35
36001013509,5488788,28448,36,,3272,6.73
36001013510,2652492,0,36,,3556,8.07
36001013511,8462725,1336145,36,,3559,6.51
36001013512,9528478,1124696,36,,3917,5.82
36001013602,7929985,649000,36,,4503,7.58
36001013603,6631007,170501,36,,3032,1.57
36001013604,7214261,63095,36,,7495,6.89
36001013703,16133183,120545,36,,2343,7.52
36001013706,2742331,79375,36,,2054,1.47
36001013707,8138017,41196,36,,6004,3.43
36001013708,4478331,7200,36,,3457,2.84
36001013709,4087446,0,36,,2766,1.1
36001013802,5455611,1645,36,,4573,1.77
36001013803,6027244,20941,36,,3694,2.32
36001013804,14915816,967,36,,3922,3.95
36001013901,3874080,8227,36,,2354,4.06
36001013902,4521603,0,36,,5351,0
36001014001,4137079,17276,36,,3467,7.1
