FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34001000100,1704430,466900,34,"Census Tract 1, Atlantic County, New Jersey",2164,30.29
34001000200,523371,670243,34,"Census Tract 2, Atlantic County, New Jersey",3248,21.38
34001000300,365553,45436,34,"Census Tract 3, Atlantic County, New Jersey",4584,20.95
34001000400,676905,1019528,34,"Census Tract 4, Atlantic County, New Jersey",3791,39.56
34001000500,273704,79771,34,"Census Tract 5, Atlantic County, New Jersey",2594,21.94
34001001100,289400,0,34,"Census Tract 11, Atlantic County, New Jersey",1834,25.47
34001001200,1191458,88476,34,"Census Tract 12, Atlantic County, New Jersey",2394,23.07
34001001300,16929574,11257747,34,"Census Tract 13, Atlantic County, New Jersey",1705,6.14
34001001400,1962732,754589,34,"Census Tract 14, Atlantic County, New Jersey",3584,64.19
34001001500,300087,0,34,"Census Tract 15, Atlantic County, New Jersey",1423,47.37
34001001900,279486,499303,34,"Census Tract 19, Atlantic County, New Jersey",1666,37.59
34001002300,709086,435188,34,"Census Tract 23, Atlantic County, New Jersey",2556,37.97
34001002400,1577406,901939,34,"Census Tract 24, Atlantic County, New Jersey",2735,49.65
34001002500,1086303,496767,34,"Census Tract 25, Atlantic County, New Jersey",4208,29.98
34001010101,10855267,12431081,34,"Census Tract 101.01, Atlantic County, New Jersey",3160,1.31
34001010102,2000187,1808973,34,"Census Tract 101.02, Atlantic County, New Jersey",1427,3.76
34001010104,1451785,1104417,34,"Census Tract 101.04, Atlantic County, New Jersey",1210,7.37
34001010105,2586555,2809690,34,"Census Tract 101.05, Atlantic County, New Jersey",1905,20.77
34001010200,8905421,3864500,34,"Census Tract 102, Atlantic County, New Jersey",6617,9.94
34001010300,5421210,500254,34,"Census Tract 103, Atlantic County, New Jersey",2482,6.21
34001010401,90609728,1287653,34,"Census Tract 104.01, Atlantic County, New Jersey",5681,2.64
34001010403,9228185,0,34,"Census Tract 104.03, Atlantic County, New Jersey",7771,2.6
34001010501,99731441,47436715,34,"Census Tract 105.01, Atlantic County, New Jersey",7789,1.28
34001010503,9025223,45313,34,"Census Tract 105.03, Atlantic County, New Jersey",7001,6.87
34001010505,22052606,17511534,34,"Census Tract 105.05, Atlantic County, New Jersey",2977,3.91
34001010506,11068845,218684,34,"Census Tract 105.06, Atlantic County, New Jersey",4787,4.85
34001010600,28103807,1477247,34,"Census Tract 106, Atlantic County, New Jersey",4378,4.59
34001010700,146011642,1212813,34,"Census Tract 107, Atlantic County, New Jersey",5815,2.91
34001010800,19035779,283233,34,"Census Tract 108, Atlantic County, New Jersey",3067,13.58
34001010900,57606268,985851,34,"Census Tract 109, Atlantic County, New Jersey",5855,4.48
34001011000,17112186,122700,34,"Census Tract 110, Atlantic County, New Jersey",2690,6.47
34001011100,11786268,72953,34,"Census Tract 111, Atlantic County, New Jersey",3134,10.95
34001011201,21404102,634664,34,"Census Tract 112.01, Atlantic County, New Jersey",1732,3.03
34001011202,106395939,1297594,34,"Census Tract 112.02, Atlantic County, New Jersey",7064,3.96
34001011300,19613394,3293,34,"Census Tract 113, Atlantic County, New Jersey",4500,2.89
34001011401,116281135,3095943,34,"Census Tract 114.01, Atlantic County, New Jersey",4506,0.63
34001011403,28312462,194760,34,"Census Tract 114.03, Atlantic County, New Jersey",6704,11.7
34001011404,35975470,967711,34,"Census Tract 114.04, Atlantic County, New Jersey",10339,2.86
34001011500,106647810,1047741,34,"Census Tract 115, Atlantic County, New Jersey",6335,3.74
34001011600,188826608,8854861,34,"Census Tract 116, Atlantic County, New Jersey",4925,8.09
34001011702,30562626,851452,34,"Census Tract 117.02, Atlantic County, New Jersey",3777,8.16
34001011703,7858424,0,34,"Census Tract 117.03, Atlantic County, New Jersey",5307,7.23
34001011704,4838060,3467,34,"Census Tract 117.04, Atlantic County, New Jersey",4686,8.05
34001011803,7196281,207395,34,"Census Tract 118.03, Atlantic County, New Jersey",5581,7.98
34001011804,30846290,4499753,34,"Census Tract 118.04, Atlantic County, New Jersey",7150,7.79
34001011805,38665307,1778031,34,"Census Tract 118.05, Atlantic County, New Jersey",2467,5.28
34001011806,11175752,2053,34,"Census Tract 118.06, Atlantic County, New Jersey",8229,6.02
34001011807,18375138,181936,34,"Census Tract 118.07, Atlantic County, New Jersey",5875,6.35
34001011808,7629162,0,34,"Census Tract 118.08, Atlantic County, New Jersey",3784,4.89
34001011901,1604718,0,34,"Census Tract 119.01, Atlantic County, New Jersey",3255,13.85
