FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
09110400101,11374703,168925,9,"Census Tract 4001.01, Capitol Planning Region, Connecticut",2833,4.07
09110400102,8210788,229073,9,"Census Tract 4001.02, Capitol Planning Region, Connecticut",4298,6.67
09110400200,32961529,937785,9,"Census Tract 4002, Capitol Planning Region, Connecticut",6198,0
09110400300,15600303,409091,9,"Census Tract 4003, Capitol Planning Region, Connecticut",6881,3.81
09110415300,541180,0,9,"Census Tract 4153, Capitol Planning Region, Connecticut",2399,26.07
09110415400,2686140,0,9,"Census Tract 4154, Capitol Planning Region, Connecticut",5536,10.34
09110415500,1136293,0,9,"Census Tract 4155, Capitol Planning Region, Connecticut",2878,21.26
09110415600,1270379,0,9,"Census Tract 4156, Capitol Planning Region, Connecticut",4220,18.25
09110415700,1273956,35674,9,"Census Tract 4157, Capitol Planning Region, Connecticut",3277,8.24
09110415800,1375333,0,9,"Census Tract 4158, Capitol Planning Region, Connecticut",2903,28.92
09110415900,651125,0,9,"Census Tract 4159, Capitol Planning Region, Connecticut",1475,10
09110416000,812079,0,9,"Census Tract 4160, Capitol Planning Region, Connecticut",4679,24.84
09110416100,896459,0,9,"Census Tract 4161, Capitol Planning Region, Connecticut",4618,13.18
09110416200,555678,0,9,"Census Tract 4162, Capitol Planning Region, Connecticut",2786,24.58
09110416300,1830592,0,9,"Census Tract 4163, Capitol Planning Region, Connecticut",4161,18.5
09110416400,4479730,19980,9,"Census Tract 4164, Capitol Planning Region, Connecticut",3346,1.1
09110416500,3104118,0,9,"Census Tract 4165, Capitol Planning Region, Connecticut",4621,10.76
09110416600,1598492,0,9,"Census Tract 4166, Capitol Planning Region, Connecticut",2961,27.6
09110416700,2626365,0,9,"Census Tract 4167, Capitol Planning Region, Connecticut",7015,12.37
09110416800,1192733,0,9,"Census Tract 4168, Capitol Planning Region, Connecticut",3849,9.73
09110417100,1168124,0,9,"Census Tract 4171, Capitol Planning Region, Connecticut",1728,41.74
09110417200,616008,0,9,"Census Tract 4172, Capitol Planning Region, Connecticut",1511,4.22
09110417300,576659,0,9,"Census Tract 4173, Capitol Planning Region, Connecticut",1642,
09110417400,2735371,46990,9,"Census Tract 4174, Capitol Planning Region, Connecticut",3130,2.21
09110417500,3567470,84740,9,"Census Tract 4175, Capitol Planning Region, Connecticut",4566,3.94
09110420400,5689449,45167,9,"Census Tract 4204, Capitol Planning Region, Connecticut",3111,4.05
09110420500,4778095,0,9,"Census Tract 4205, Capitol Planning Region, Connecticut",5207,2.14
09110420601,1548470,4297,9,"Census Tract 4206.01, Capitol Planning Region, Connecticut",2331,21.82
09110420602,3955379,138026,9,"Census Tract 4206.02, Capitol Planning Region, Connecticut",3440,3.15
09110420700,9168405,4369,9,"Census Tract 4207, Capitol Planning Region, Connecticut",3379,1.89
09110430100,3408262,0,9,"Census Tract 4301, Capitol Planning Region, Connecticut",4148,6.02
09110430201,6378472,0,9,"Census Tract 4302.01, Capitol Planning Region, Connecticut",3366,0
09110430202,16291943,1424290,9,"Census Tract 4302.02, Capitol Planning Region, Connecticut",4582,0
09110430203,5147024,30961,9,"Census Tract 4302.03, Capitol Planning Region, Connecticut",3956,1.43
09110430301,9302188,63467,9,"Census Tract 4303.01, Capitol Planning Region, Connecticut",4018,2.88
09110430302,4552528,19886,9,"Census Tract 4303.02, Capitol Planning Region, Connecticut",2578,0
09110430400,9973390,24419,9,"Census Tract 4304, Capitol Planning Region, Connecticut",5148,11.47
09110430501,1447346,0,9,"Census Tract 4305.01, Capitol Planning Region, Connecticut",1554,0
09110430502,11073013,64832,9,"Census Tract 4305.02, Capitol Planning Region, Connecticut",5422,0
09110430602,3422664,0,9,"Census Tract 4306.02, Capitol Planning Region, Connecticut",3567,0
09110430603,3316362,0,9,"Census Tract 4306.03, Capitol Planning Region, Connecticut",1931,5.54
09110430604,18600609,306195,9,"Census Tract 4306.04, Capitol Planning Region, Connecticut",3305,0
09110460100,9879911,629579,9,"Census Tract 4601, Capitol Planning Region, Connecticut",3035,1.52
09110460202,20190010,153041,9,"Census Tract 4602.02, Capitol Planning Region, Connecticut",4811,0
