Always equal to ACS Summary File identification,State Postal Abbreviation,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Qualified Area Name,Total_Pop,Percent_Pov
ACSSF,NJ,1400000US34001000100,"Census Tract 1, Atlantic County, New Jersey",,,34001000100,1704430,466900,34,,"Census Tract 1, Atlantic County, New Jersey",2164,55.42
ACSSF,NJ,1400000US34001000200,"Census Tract 2, Atlantic County, New Jersey",,,34001000200,523371,670243,34,,"Census Tract 2, Atlantic County, New Jersey",3248,24.31
ACSSF,NJ,1400000US34001000300,"Census Tract 3, Atlantic County, New Jersey",,,34001000300,365553,45436,34,,"Census Tract 3, Atlantic County, New Jersey",4584,33.9
ACSSF,NJ,1400000US34001000400,"Census Tract 4, Atlantic County, New Jersey",,,34001000400,676905,1019528,34,,"Census Tract 4, Atlantic County, New Jersey",3791,82.44
ACSSF,NJ,1400000US34001000500,"Census Tract 5, Atlantic County, New Jersey",,,34001000500,273704,79771,34,,"Census Tract 5, Atlantic County, New Jersey",2594,20.56
ACSSF,NJ,1400000US34001001100,"Census Tract 11, Atlantic County, New Jersey",,,34001001100,289400,0,34,,"Census Tract 11, Atlantic County, New Jersey",1834,30.93
ACSSF,NJ,1400000US34001001200,"Census Tract 12, Atlantic County, New Jersey",,,34001001200,1191458,88476,34,,"Census Tract 12, Atlantic County, New Jersey",2394,15.86
ACSSF,NJ,1400000US34001001300,"Census Tract 13, Atlantic County, New Jersey",,,34001001300,16929574,11257747,34,,"Census Tract 13, Atlantic County, New Jersey",1705,25
ACSSF,NJ,1400000US34001001400,"Census Tract 14, Atlantic County, New Jersey",,,34001001400,1962732,754589,34,,"Census Tract 14, Atlantic County, New Jersey",3584,54.57
ACSSF,NJ,1400000US34001001500,"Census Tract 15, Atlantic County, New Jersey",,,34001001500,300087,0,34,,"Census Tract 15, Atlantic County, New Jersey",1423,83.83
ACSSF,NJ,1400000US34001001900,"Census Tract 19, Atlantic County, New Jersey",,,34001001900,279486,499303,34,,"Census Tract 19, Atlantic County, New Jersey",1666,69.5
ACSSF,NJ,1400000US34001002300,"Census Tract 23, Atlantic County, New Jersey",,,34001002300,709086,435188,34,,"Census Tract 23, Atlantic County, New Jersey",2556,60.21
ACSSF,NJ,1400000US34001002400,"Census Tract 24, Atlantic County, New Jersey",,,34001002400,1577406,901939,34,,"Census Tract 24, Atlantic County, New Jersey",2735,69.37
ACSSF,NJ,1400000US34001002500,"Census Tract 25, Atlantic County, New Jersey",,,34001002500,1086303,496767,34,,"Census Tract 25, Atlantic County, New Jersey",4208,71.52
ACSSF,NJ,1400000US34001010101,"Census Tract 101.01, Atlantic County, New Jersey",,,34001010101,10855267,12431081,34,,"Census Tract 101.01, Atlantic County, New Jersey",3160,0
ACSSF,NJ,1400000US34001010102,"Census Tract 101.02, Atlantic County, New Jersey",,,34001010102,2000187,1808973,34,,"Census Tract 101.02, Atlantic County, New Jersey",1427,0
