Always equal to ACS Summary File identification,State Postal Abbreviation,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Qualified Area Name,Total_Pop,Percent_Pov
ACSSF,CT,1400000US09110400101,"Census Tract 4001.01, Capitol Planning Region, Connecticut",,,09110400101,11374703,168925,09,,"Census Tract 4001.01, Capitol Planning Region, Connecticut",2833,0
ACSSF,CT,1400000US09110400102,"Census Tract 4001.02, Capitol Planning Region, Connecticut",,,09110400102,8210788,229073,09,,"Census Tract 4001.02, Capitol Planning Region, Connecticut",4298,17.36
ACSSF,CT,1400000US09110400200,"Census Tract 4002, Capitol Planning Region, Connecticut",,,09110400200,32961529,937785,09,,"Census Tract 4002, Capitol Planning Region, Connecticut",6198,0
ACSSF,CT,1400000US09110400300,"Census Tract 4003, Capitol Planning Region, Connecticut",,,09110400300,15600303,409091,09,,"Census Tract 4003, Capitol Planning Region, Connecticut",6881,3.35
ACSSF,CT,1400000US09110415300,"Census Tract 4153, Capitol Planning Region, Connecticut",,,09110415300,541180,0,09,,"Census Tract 4153, Capitol Planning Region, Connecticut",2399,65.66
ACSSF,CT,1400000US09110415400,"Census Tract 4154, Capitol Planning Region, Connecticut",,,09110415400,2686140,0,09,,"Census Tract 4154, Capitol Planning Region, Connecticut",5536,31.2
ACSSF,CT,1400000US09110415500,"Census Tract 4155, Capitol Planning Region, Connecticut",,,09110415500,1136293,0,09,,"Census Tract 4155, Capitol Planning Region, Connecticut",2878,15.32
ACSSF,CT,1400000US09110415600,"Census Tract 4156, Capitol Planning Region, Connecticut",,,09110415600,1270379,0,09,,"Census Tract 4156, Capitol Planning Region, Connecticut",4220,20.63
ACSSF,CT,1400000US09110415700,"Census Tract 4157, Capitol Planning Region, Connecticut",,,09110415700,1273956,35674,09,,"Census Tract 4157, Capitol Planning Region, Connecticut",3277,9.89
ACSSF,CT,1400000US09110415800,"Census Tract 4158, Capitol Planning Region, Connecticut",,,09110415800,1375333,0,09,,"Census Tract 4158, Capitol Planning Region, Connecticut",2903,42.33
ACSSF,CT,1400000US09110415900,"Census Tract 4159, Capitol Planning Region, Connecticut",,,09110415900,651125,0,09,,"Census Tract 4159, Capitol Planning Region, Connecticut",1475,19.31
ACSSF,CT,1400000US09110416000,"Census Tract 4160, Capitol Planning Region, Connecticut",,,09110416000,812079,0,09,,"Census Tract 4160, Capitol Planning Region, Connecticut",4679,28.55
ACSSF,CT,1400000US09110416100,"Census Tract 4161, Capitol Planning Region, Connecticut",,,09110416100,896459,0,09,,"Census Tract 4161, Capitol Planning Region, Connecticut",4618,20.98
ACSSF,CT,1400000US09110416200,"Census Tract 4162, Capitol Planning Region, Connecticut",,,09110416200,555678,0,09,,"Census Tract 4162, Capitol Planning Region, Connecticut",2786,40.11
ACSSF,CT,1400000US09110416300,"Census Tract 4163, Capitol Planning Region, Connecticut",,,09110416300,1830592,0,09,,"Census Tract 4163, Capitol Planning Region, Connecticut",4161,22.88
ACSSF,CT,1400000US09110416400,"Census Tract 4164, Capitol Planning Region, Connecticut",,,09110416400,4479730,19980,09,,"Census Tract 4164, Capitol Planning Region, Connecticut",3346,4.82
ACSSF,CT,1400000US09110416500,"Census Tract 4165, Capitol Planning Region, Connecticut",,,09110416500,3104118,0,09,,"Census Tract 4165, Capitol Planning Region, Connecticut",4621,20.83
ACSSF,CT,1400000US09110416600,"Census Tract 4166, Capitol Planning Region, Connecticut",,,09110416600,1598492,0,09,,"Census Tract 4166, Capitol Planning Region, Connecticut",2961,26.46
ACSSF,CT,1400000US09110416700,"Census Tract 4167, Capitol Planning Region, Connecticut",,,09110416700,2626365,0,09,,"Census Tract 4167, Capitol Planning Region, Connecticut",7015,28.02
ACSSF,CT,1400000US09110416800,"Census Tract 4168, Capitol Planning Region, Connecticut",,,09110416800,1192733,0,09,,"Census Tract 4168, Capitol Planning Region, Connecticut",3849,23.3
ACSSF,CT,1400000US09110417100,"Census Tract 4171, Capitol Planning Region, Connecticut",,,09110417100,1168124,0,09,,"Census Tract 4171, Capitol Planning Region, Connecticut",1728,44.53
ACSSF,CT,1400000US09110417200,"Census Tract 4172, Capitol Planning Region, Connecticut",,,09110417200,616008,0,09,,"Census Tract 4172, Capitol Planning Region, Connecticut",1511,0
ACSSF,CT,1400000US09110417300,"Census Tract 4173, Capitol Planning Region, Connecticut",,,09110417300,576659,0,09,,"Census Tract 4173, Capitol Planning Region, Connecticut",1642,
ACSSF,CT,1400000US09110417400,"Census Tract 4174, Capitol Planning Region, Connecticut",,,09110417400,2735371,46990,09,,"Census Tract 4174, Capitol Planning Region, Connecticut",3130,2.45
ACSSF,CT,1400000US09110417500,"Census Tract 4175, Capitol Planning Region, Connecticut",,,09110417500,3567470,84740,09,,"Census Tract 4175, Capitol Planning Region, Connecticut",4566,6.15
ACSSF,CT,1400000US09110420400,"Census Tract 4204, Capitol Planning Region, Connecticut",,,09110420400,5689449,45167,09,,"Census Tract 4204, Capitol Planning Region, Connecticut",3111,0
ACSSF,CT,1400000US09110420500,"Census Tract 4205, Capitol Planning Region, Connecticut",,,09110420500,4778095,0,09,,"Census Tract 4205, Capitol Planning Region, Connecticut",5207,8.03
ACSSF,CT,1400000US09110420601,"Census Tract 4206.01, Capitol Planning Region, Connecticut",,,09110420601,1548470,4297,09,,"Census Tract 4206.01, Capitol Planning Region, Connecticut",2331,40.84
ACSSF,CT,1400000US09110420602,"Census Tract 4206.02, Capitol Planning Region, Connecticut",,,09110420602,3955379,138026,09,,"Census Tract 4206.02, Capitol Planning Region, Connecticut",3440,7.86
ACSSF,CT,1400000US09110420700,"Census Tract 4207, Capitol Planning Region, Connecticut",,,09110420700,9168405,4369,09,,"Census Tract 4207, Capitol Planning Region, Connecticut",3379,10.25
