FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population:,Total Population: Male,Total Population: Female,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races
06075010100,Census Tract 101,"Census Tract 101, San Francisco County, California",ca,140,00,ACSSF,0008985,,,,,06,075,,,,010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010100,,,776490,646917,3850,3850,1688,2162,3850,75,48,209,80,205,1165,428,489,323,398,289,141,3850,1945,154,0,1163,0,491,97
06075010200,Census Tract 102,"Census Tract 102, San Francisco County, California",ca,140,00,ACSSF,0008986,,,,,06,075,,,,010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010200,,,515958,295388,4299,4299,2145,2154,4299,85,11,41,55,305,1239,587,432,566,447,357,174,4299,3444,60,0,574,9,57,155
06075010300,Census Tract 103,"Census Tract 103, San Francisco County, California",ca,140,00,ACSSF,0008987,,,,,06,075,,,,010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010300,,,268266,0,4229,4229,2350,1879,4229,57,128,165,19,203,1308,810,419,382,409,146,183,4229,2826,0,23,1233,0,83,64
06075010400,Census Tract 104,"Census Tract 104, San Francisco County, California",ca,140,00,ACSSF,0008988,,,,,06,075,,,,010400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010400,,,335744,0,4430,4430,2205,2225,4430,141,159,130,0,225,1099,801,613,575,391,203,93,4430,2896,2,7,1153,28,0,344
06075010500,Census Tract 105,"Census Tract 105, San Francisco County, California",ca,140,00,ACSSF,0008989,,,,,06,075,,,,010500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010500,,,683606,494314,2932,2932,1503,1429,2932,201,0,66,13,198,499,505,364,294,323,314,155,2932,1523,233,0,729,0,79,368
06075010600,Census Tract 106,"Census Tract 106, San Francisco County, California",ca,140,00,ACSSF,0008990,,,,,06,075,,,,010600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010600,,,187223,0,3356,3356,1805,1551,3356,21,66,68,40,219,910,418,349,532,308,191,234,3356,1344,62,0,1886,0,9,55
06075010700,Census Tract 107,"Census Tract 107, San Francisco County, California",ca,140,00,ACSSF,0008991,,,,,06,075,,,,010700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010700,,,183170,0,5522,5522,2453,3069,5522,152,103,174,96,373,996,623,625,934,575,519,352,5522,885,0,18,4332,0,249,38
06075010800,Census Tract 108,"Census Tract 108, San Francisco County, California",ca,140,00,ACSSF,0008992,,,,,06,075,,,,010800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010800,,,226078,0,4860,4860,2384,2476,4860,234,102,66,61,324,1277,647,555,481,550,318,245,4860,2513,0,0,2144,0,34,169
06075010900,Census Tract 109,"Census Tract 109, San Francisco County, California",ca,140,00,ACSSF,0008993,,,,,06,075,,,,010900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010900,,,250647,0,4510,4510,2280,2230,4510,46,47,84,0,176,1904,447,337,578,550,272,69,4510,3217,94,0,1046,0,23,130
06075011000,Census Tract 110,"Census Tract 110, San Francisco County, California",ca,140,00,ACSSF,0008994,,,,,06,075,,,,011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011000,,,239179,0,4792,4792,2111,2681,4792,74,9,61,0,250,2182,692,267,676,266,145,170,4792,2712,86,0,1884,0,97,13
