"Always equal to ACS Summary File identification","State Postal Abbreviation","Summary Level","Geographic Component","US","Census Region","Census Division","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","ZIP Code Tabulation Area (3-digit)","Total Population"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,SE_A00001_001
"ACSSF","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,"Census Tract 101.01, San Francisco County, California","06075010101","667587","676264",,,2004
"ACSSF","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,"Census Tract 101.02, San Francisco County, California","06075010102","79556","0",,,1795
"ACSSF","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,"Census Tract 102.01, San Francisco County, California","06075010201","186873","0",,,2608
"ACSSF","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,"Census Tract 102.02, San Francisco County, California","06075010202","331839","295796",,,1761
"ACSSF","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,"Census Tract 103, San Francisco County, California","06075010300","268261","0",,,3791
"ACSSF","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,"Census Tract 104.01, San Francisco County, California","06075010401","142234","0",,,2393
"ACSSF","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,"Census Tract 104.02, San Francisco County, California","06075010402","193510","0",,,2012
"ACSSF","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,"Census Tract 105, San Francisco County, California","06075010500","676089","501830",,,3177
"ACSSF","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,"Census Tract 106, San Francisco County, California","06075010600","187223","0",,,3293
"ACSSF","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,"Census Tract 107.01, San Francisco County, California","06075010701","97964","0",,,3280
"ACSSF","ca","140","00",,,,"06","075",,,"010702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010702","Census Tract 107.02",,,"Census Tract 107.02, San Francisco County, California","06075010702","85204","0",,,1380
"ACSSF","ca","140","00",,,,"06","075",,,"010800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010800","Census Tract 108",,,"Census Tract 108, San Francisco County, California","06075010800","226072","0",,,4334
"ACSSF","ca","140","00",,,,"06","075",,,"010901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010901","Census Tract 109.01",,,"Census Tract 109.01, San Francisco County, California","06075010901","122908","0",,,2069
"ACSSF","ca","140","00",,,,"06","075",,,"010902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075010902","Census Tract 109.02",,,"Census Tract 109.02, San Francisco County, California","06075010902","127739","0",,,2568
"ACSSF","ca","140","00",,,,"06","075",,,"011001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011001","Census Tract 110.01",,,"Census Tract 110.01, San Francisco County, California","06075011001","118009","0",,,2327
"ACSSF","ca","140","00",,,,"06","075",,,"011002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011002","Census Tract 110.02",,,"Census Tract 110.02, San Francisco County, California","06075011002","121170","0",,,1755
"ACSSF","ca","140","00",,,,"06","075",,,"011101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011101","Census Tract 111.01",,,"Census Tract 111.01, San Francisco County, California","06075011101","121412","0",,,2470
"ACSSF","ca","140","00",,,,"06","075",,,"011102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011102","Census Tract 111.02",,,"Census Tract 111.02, San Francisco County, California","06075011102","125690","0",,,2205
"ACSSF","ca","140","00",,,,"06","075",,,"011200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011200","Census Tract 112",,,"Census Tract 112, San Francisco County, California","06075011200","177415","0",,,2678
"ACSSF","ca","140","00",,,,"06","075",,,"011300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011300","Census Tract 113",,,"Census Tract 113, San Francisco County, California","06075011300","102298","0",,,2518
"ACSSF","ca","140","00",,,,"06","075",,,"011700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011700","Census Tract 117",,,"Census Tract 117, San Francisco County, California","06075011700","551749","0",,,1947
"ACSSF","ca","140","00",,,,"06","075",,,"011800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011800","Census Tract 118",,,"Census Tract 118, San Francisco County, California","06075011800","56564","0",,,1635
"ACSSF","ca","140","00",,,,"06","075",,,"011901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011901","Census Tract 119.01",,,"Census Tract 119.01, San Francisco County, California","06075011901","62294","0",,,2084
"ACSSF","ca","140","00",,,,"06","075",,,"011902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075011902","Census Tract 119.02",,,"Census Tract 119.02, San Francisco County, California","06075011902","93053","0",,,2732
"ACSSF","ca","140","00",,,,"06","075",,,"012001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075012001","Census Tract 120.01",,,"Census Tract 120.01, San Francisco County, California","06075012001","62922","0",,,1738
"ACSSF","ca","140","00",,,,"06","075",,,"012002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075012002","Census Tract 120.02",,,"Census Tract 120.02, San Francisco County, California","06075012002","62307","0",,,2035
"ACSSF","ca","140","00",,,,"06","075",,,"012100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075012100","Census Tract 121",,,"Census Tract 121, San Francisco County, California","06075012100","123394","0",,,3250
"ACSSF","ca","140","00",,,,"06","075",,,"012202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075012202","Census Tract 122.02",,,"Census Tract 122.02, San Francisco County, California","06075012202","94685","0",,,3017
"ACSSF","ca","140","00",,,,"06","075",,,"012203",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06075012203","Census Tract 122.03",,,"Census Tract 122.03, San Francisco County, California","06075012203","45984","0",,,1895
