OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
169043944,406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,YES,NO,,,NO,12,7,394640.0521,127217.4066,
169043945,407,Commonwealth & E Monroe Ave,31913,38.820058,-77.062821,YES,NO,,,NO,9,6,394544.5573,128033.0364,
169043946,408,4th St & Madison Dr NW,31288,38.890493,-77.017253,YES,NO,,,NO,10,3,398503.2087,135850.0906,
169043947,409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,YES,NO,,,NO,4,14,395716.1071,135856.7692,
169043948,410,17th St & Independence Ave SW,31290,38.888097,-77.038325,YES,NO,,,NO,4,13,396674.9868,135584.6724,
169043949,411,Franklin & S Washington St,31907,38.798133,-77.0487,YES,NO,,,NO,17,2,395769.5415,125598.4735,
169043950,412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,YES,NO,,,NO,5,9,394442.601,130626.6693,
169043951,413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,YES,NO,,,NO,16,7,398788.2493,137304.8012,
169043952,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,YES,NO,,,NO,11,3,394522.5655,130390.0578,
169043953,415,Lee Center,31914,38.797557,-77.053766,YES,NO,,,NO,15,0,395329.432,125534.781,
169043954,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,YES,NO,,,NO,11,4,395850.397,127886.8268,
169043955,417,Potomac & Swann Ave,31916,38.829545,-77.047844,YES,NO,,,NO,14,2,395845.7278,129085.3677,
169043956,418,14th & Irving St NW,31124,38.928552,-77.032224,YES,NO,,,NO,0,31,397205.8846,140075.3037,
169043957,419,16th & K St NW,31291,38.90268,-77.035737,YES,NO,,,NO,6,16,396900.151,137203.4098,
169043958,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,YES,NO,,,NO,4,21,393046.5273,142438.0242,
169043959,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,YES,NO,,,NO,7,10,402435.0762,138307.7088,
169043960,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,YES,NO,,,NO,2,13,406427.3461,136620.0661,
169043961,423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,YES,NO,,,NO,15,8,401530.8771,133652.3679,
169043962,424,Spring Hill Metro,32200,38.929261,-77.240654,YES,NO,,,NO,9,6,379133.3291,140181.02,
169043963,425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,YES,NO,,,NO,6,5,379539.269,139599.2725,
169043964,427,Tysons One Pl & Chain Bridge Rd,32203,38.919475,-77.221179,YES,NO,,,NO,7,4,380819.3354,139090.4224,
169043965,428,Tysons Corner Station,32204,38.920939,-77.222115,YES,NO,,,NO,5,6,380738.561,139253.1354,
169043966,429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,YES,NO,,,NO,4,7,381125.4694,139640.5122,
169043967,430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,YES,NO,,,NO,7,6,380988.98,140470.5194,
169043968,431,Westpark & Park Run Dr,32207,38.928919,-77.225394,YES,NO,,,NO,7,4,380456.3994,140139.6776,
169043969,432,Tysons West Transit Center,32208,38.932636,-77.231825,YES,NO,,,NO,5,6,379899.8254,140553.6918,
169043970,433,North Shore & Cameron Crescent Dr/Crescent Apartments,32209,38.970046,-77.338686,YES,NO,,,NO,9,2,370649.9832,144735.4649,
169043971,434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,YES,NO,,,NO,6,9,368634.8196,143908.1787,
169043972,435,Reston Regional Library,32211,38.962095,-77.358815,YES,NO,,,NO,4,11,368902.1739,143859.4999,
169043973,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,YES,NO,,,NO,6,9,369117.4041,143689.8105,
169043974,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,YES,NO,,,NO,2,13,369520.2345,143078.2481,
169043975,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,,,NO,3,14,368821.7005,143298.3275,
169043976,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,,,NO,12,4,399482.4634,135230.8757,
169043977,440,Reston Station,32215,38.948363,-77.338119,YES,NO,,,NO,24,11,370690.2031,142328.2857,
169043978,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,,,NO,11,8,368907.5133,143586.172,
169043979,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,YES,NO,,,NO,6,9,369003.5843,143109.2288,
169043980,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,,,NO,5,15,395753.6983,136067.3308,
169043981,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,,,NO,10,9,407498.7397,135999.1416,
169043982,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,,,NO,12,3,369369.4019,143634.4359,
169043983,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,,,NO,8,7,368067.0397,143110.0668,
169043984,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.34038,YES,NO,,,NO,7,3,370495.7444,142670.9186,
169043985,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,YES,NO,,,NO,9,6,393852.6278,136226.0986,
169043986,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,YES,NO,,,NO,7,6,397575.5502,144399.3161,
169043987,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,,,NO,5,6,380279.3743,139492.2688,
