Census Tract,Geography,Geographic Area Name,Total,"Chinese, except Taiwanese",Hmong,Japanese,Korean,Mongolian,Okinawan,Taiwanese,Other East Asian,Burmese,Cambodian,Filipino,Indonesian,Laotian,Malaysian,Mien,Singaporean,Thai,Vietnamese,Other Southeast Asian,Asian Indian,Bangladeshi,Bhutanese,Nepalese,Pakistani,Sikh,Sri Lankan,Other South Asian,Kazakh,Uzbek,Other Central Asian,"Other Asian, specified","Other Asian, not specified",Two or more Asian,Estimate!!Total:,Percent Asian of Census Tract,GEOID
21291,1400000US13001950100,Census Tract 9501; Appling County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3628,0,13001950100
21292,1400000US13001950201,Census Tract 9502.01; Appling County; Georgia,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,3.093645485,13001950201
21293,1400000US13001950202,Census Tract 9502.02; Appling County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,13001950202
21294,1400000US13001950301,Census Tract 9503.01; Appling County; Georgia,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716,0.625920471,13001950301
21295,1400000US13001950302,Census Tract 9503.02; Appling County; Georgia,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,0.795906765,13001950302
21296,1400000US13001950400,Census Tract 9504; Appling County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,0,13001950400
21297,1400000US13001950500,Census Tract 9505; Appling County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3866,0,13001950500
21298,1400000US13003960100,Census Tract 9601; Atkinson County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,13003960100
21299,1400000US13003960200,Census Tract 9602; Atkinson County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572,0,13003960200
21300,1400000US13003960300,Census Tract 9603; Atkinson County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,13003960300
21301,1400000US13005970100,Census Tract 9701; Bacon County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,0,13005970100
21302,1400000US13005970201,Census Tract 9702.01; Bacon County; Georgia,70,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,7,4623,1.514168289,13005970201
21303,1400000US13005970202,Census Tract 9702.02; Bacon County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,13005970202
21304,1400000US13007960100,Census Tract 9601; Baker County; Georgia,124,0,0,0,117,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854,6.68824164,13007960100
21305,1400000US13007960200,Census Tract 9602; Baker County; Georgia,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,15.625,13007960200
21306,1400000US13009970101,Census Tract 9701.01; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406,0,13009970101
21307,1400000US13009970102,Census Tract 9701.02; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2989,0,13009970102
21308,1400000US13009970201,Census Tract 9702.01; Baldwin County; Georgia,498,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3376,14.75118483,13009970201
21309,1400000US13009970202,Census Tract 9702.02; Baldwin County; Georgia,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367,0.95040095,13009970202
21310,1400000US13009970301,Census Tract 9703.01; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,0,13009970301
21311,1400000US13009970302,Census Tract 9703.02; Baldwin County; Georgia,116,0,0,0,31,0,0,18,0,0,0,0,0,0,0,0,0,12,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3403,3.408756979,13009970302
21312,1400000US13009970400,Census Tract 9704; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,0,13009970400
21313,1400000US13009970501,Census Tract 9705.01; Baldwin County; Georgia,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860,0.103626943,13009970501
21314,1400000US13009970502,Census Tract 9705.02; Baldwin County; Georgia,13,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,0.481303221,13009970502
21315,1400000US13009970600,Census Tract 9706; Baldwin County; Georgia,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3579,0.419111484,13009970600
21316,1400000US13009970701,Census Tract 9707.01; Baldwin County; Georgia,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0.567214974,13009970701
21317,1400000US13009970702,Census Tract 9707.02; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,0,13009970702
21318,1400000US13009970801,Census Tract 9708.01; Baldwin County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,0,13009970801
21319,1400000US13009970802,Census Tract 9708.02; Baldwin County; Georgia,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4894,0.143032284,13009970802
21320,1400000US13011970100,Census Tract 9701; Banks County; Georgia,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4946,0.283057016,13011970100
21321,1400000US13011970200,Census Tract 9702; Banks County; Georgia,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4885,1.473899693,13011970200
21322,1400000US13011970300,Census Tract 9703; Banks County; Georgia,28,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4527,0.618511155,13011970300
21323,1400000US13011970400,Census Tract 9704; Banks County; Georgia,145,37,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,3.604275416,13011970400
