CMPLNT_NUM,CMPLNT_FR_,CMPLNT_F_1,CMPLNT_TO_,CMPLNT_T_1,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_C,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_C,LOC_OF_OCC,PREM_TYP_D,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
492537924,8/14/2014,17:00:00,8/17/2014,21:00:00,8/18/2014,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,HOSPITAL,,,"1,065,540","213,942",40.75353246,-73.70659676,"(40.753532458, -73.706596761)"
681179819,7/8/2013,8:30:00,7/8/2013,9:00:00,7/8/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,,RESIDENCE - APT. HOUSE,,,"1,063,463","212,154",40.74864373,-73.71411441,"(40.748643726, -73.714114406)"
835418503,3/19/2016,8:00:00,3/19/2016,10:30:00,3/19/2016,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,"1,063,213","207,863",40.7368683,-73.71506705,"(40.736868297, -73.715067046)"
350486343,11/17/2013,18:45:00,11/17/2013,18:55:00,11/17/2013,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,"1,059,506","203,150",40.72396464,-73.72849621,"(40.723964644, -73.72849621)"
738248923,7/27/2012,2:30:00,7/27/2012,16:00:00,7/27/2012,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,RESIDENCE-HOUSE,,,"1,059,116","189,805",40.68733924,-73.73005159,"(40.687339242, -73.730051594)"
585651217,1/4/2015,2:30:00,1/4/2015,6:30:00,1/5/2015,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,"1,059,039","179,173",40.65815757,-73.7304472,"(40.658157571, -73.730447204)"
647686922,3/30/2012,11:00:00,3/30/2012,11:10:00,3/30/2012,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,111,INSIDE,PUBLIC SCHOOL,,,"1,058,758","215,902",40.75897188,-73.73105355,"(40.758971883, -73.731053545)"
187104606,7/18/2006,15:00:00,8/14/2006,15:00:00,8/15/2006,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,"1,058,617","193,504",40.6974963,-73.73181003,"(40.697496303, -73.731810029)"
529809319,8/9/2013,8:00:00,,,8/9/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,COMMERCIAL BUILDING,,,"1,057,767","203,992",40.72629034,-73.73476086,"(40.726290343, -73.73476086)"
981710856,12/31/2006,18:00:00,1/6/2007,15:00:00,1/6/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,RESIDENCE-HOUSE,,,"1,057,767","203,992",40.72629034,-73.73476086,"(40.726290343, -73.73476086)"
